ProvID,ProvName
1,"Casa de Rui Barbosa, Rio de Janeiro"
19,Published book1
20,"Main Library, University of California, Berkeley"
21,"Universidad de Chile, Archivo Fotográfico"
18,published book2
17,"Museu Nacional, Rio de Janeiro"
16,"Museo de la Ciudad, Buenos Aires"
15,Coleção Gilberto Ferrez
14,"Biblioteca Nacional, Rio de Janeiro"
13,Union Pacific Museum Collection
12,"Centro de Tecnologia da UFRJ, Rio de Janeiro"
11,"Museu Histórico Nacional, Rio de Janeiro"
10,"Ecole Nationale Supérieure des Beaux-Arts, Paris"
9,Archivo Nacional - Santiago1
8,"Archivo Nacional, Santiago2"
7,Museo de Historia Natural de Valparaíso 1
6,Servicio Hidrográfico y Oceanográfico de la Armada
5,"Museo Nacional de Bellas Artes, Santiago"
4,"Museo Histórico Nacional, Santiago"
3,Sociedad Chilena de Historia y Geografia
2,"Archivo de la Administración, Santiago"
22,"Museo Nacional de Historia Natural, Santiago"
23,"Archivo General de la Nación, Buenos Aires"
24,"Archivo Fotográfico de la Nación, Buenos Aires"
25,"Museo Nacional de Ciencias Naturales, Buenos Aires"
26,Museo de La Plata
27,"Museo Histórico Nacional, Buenos Aires"
28,"Biblioteca Nacional, Buenos Aires"
29,Museo Histórico Nacional
30,"Iberoamerikanisches Institut, Berlin"
31,"Academia Nacional de la Historia, Buenos Aires"
32,Museo Nacional de Ciencias Naturales 'Bernardino Rivadavia'
33,"Museo Nacional de Bellas Artes, Buenos Aires"
34,Museo Isaac Fernández Blanco
35,"Museo Benjamín Vicuña Mackenna, Santiago"
36,"Archivo de la Administración, Santiago de Chile"
37,"Sociedad Chilena de Historia y Geografia, Santiago de Chile"
38,"Museo Histórico Nacional, Santiago de Chile"
39,"Museo Nacional de Bellas Artes, Santiago de Chile"
40,Museo de Historia Natural de Valparaíso 2
41,"published book, Museo Nacional Histórico and Seguros Cruz d2"
42,"Published book, Museo Nacional Histórico and Seguros Cruz 1"
43,Published book. Museo Nacional Histórico and Seguros Cruz 3
44,"Museo Nacional de Historia Natural, Santiago de Chile"
45,"Museo Nacional de História Nacional, Santiago de Chile"
46,Editorial Antártica
47,"Archivo Nacional, Santiago de Chile"
48,Editorial Universitaria
49,Ediciones Universitarias de Valparaíso- Chile
50,"Museo Benjamín Vicuña Mackenna, Santiago de Chile"
51,"Biblioteca Nacional, Santiago de Chile"
52,http://www.diputados.gov.ar/~daymuseo/blanes.htm
53,Fermín Rodríguez
54,web material
55,"Museu Republicano, São Paulo"
56,"Biblioteca Nacional, Montevideo"
57,Imprenta de la Armada
58,Museo de Historia Natural de Valparaíso 3
59,"Museu Nacional, Quinta de Boa Vista"
60,"published book, Museo Nacional Histórico and Seguros Cruz d3"
61,"Published book, Museo Nacional Histórico and Seguros Cruz d1"
62,Published book. Museo Nacional Histórico and Seguros Cruz 4
63,none
64,"Museu Nacional de Belas Artes, Rio de Janeiro"
65,"Museu Imperial, Petrópolis"
66,Museu de Arte de São Paulo
67,Museo de Historia Natural de Valparaíso 4
68,"published book, Museo Nacional Histórico and Seguros Cruz d4"
69,"Published book, Museo Nacional Histórico and Seguros Cruz 2"
70,Published book. Museo Nacional Histórico and Seguros Cruz 5
71,hello
72,"Senate House Library, University of London2"
